longitude,latitude,primary_unitid,zone,dispatch_date_to_onscene_date_mins
-69.8559,18.817417,CRD-2901,S-MPL,11.2
-69.917367,18.56825,B-0145,S-B2,15.3
-69.813267,18.470267,B-0157,S-B3,15.8
-69.9451,18.530133,B-0149,S-B2,5.1
-69.6308,18.4458,,S-B2,
-69.942867,18.530767,B-0149,S-B2,23.8
-69.8431,18.592,B-0145,S-B2,
-70.122167,18.348517,CRD-2105,S-SC,26
-69.884733,18.498083,B-0121,S-A1,13.5
-69.83725,18.486133,B-0155,S-B1,13.7
-69.8497,18.50725,B-0139,S-B1,23.7
-69.891767,18.4764,B-0138,S-A1,14
-70.018,18.5368,A-0105,S-A2,6.8
-70.13095,18.4288,A-2102,S-SC,12.2
-69.930533,18.53925,B-0152,S-B2,11.4
-70.034083,18.419383,CRD-2111,S-BH,10.8
-69.820067,18.505067,A-0114,S-B3,17.8
-69.298133,18.460567,CRD-2302,S-SPM,26.1
-69.906067,18.49375,A-0103,S-A1,8.3
-68.9722985,18.44618361,CRD-1202,S-LRO,3
-68.4044,18.613,A-1106,S-HIG,
-69.853,18.480833,B-0137,S-B1,36.7
-70.1001,18.4221,A-2102,S-SC,
-69.9317,18.504483,B-0133,S-A3,10.8
-69.295483,18.48175,CRD-2303,S-SPM,14.8
-69.699017,18.4663,A-0115,S-B2,10.7
-69.697,18.4701,,S-B2,
-69.816983,18.501767,B-0156,S-B3,15.3
-69.6069,18.4611,U-0172,S-B1,20.1
-69.945583,18.553817,A-0113,S-B2,8.2
-69.846267,18.525067,B-0140,S-B1,26.3
-69.84605,18.499167,CRD-0160,S-B1,19.8
-70.031917,18.524,B-0125,S-A2,19.5
-69.7661,18.4699,B-0158,S-B3,10.5
-68.978467,18.42115,CRD-1203,S-LRO,20.6
-70.36423515,18.25880486,CRD-1704,S-BAN,9.6
-69.7715,18.4801,B-0153,S-B3,
-69.9425,18.545883,A-0112,S-B2,16.8
-69.771389,18.494167,CRD-0162,S-B3,22
-69.8787,18.5026,B-0121,S-A1,
-68.3678,18.5326,B-1104,S-HIG,23.4
-69.97555,18.438633,B-0124,S-A3,6.1
-70.009367,18.441133,B-2110,S-BH,6.2
-70.023617,18.428767,CRD-2111,S-BH,27.2
-70.002383,18.5374,B-0126,S-A2,9.9
-69.8922,18.517017,B-0141,S-B1,13.8
-70.52185,18.267583,A-1703,S-BAN,17.8
-69.8859,18.4723,B-0102,S-A1,
-69.020017,18.4457,CRD-1201,S-VHE,8.2
-68.705767,18.5891,B-1101,S-HIG,22
-69.905783,18.571533,B-0144,S-B2,58.6
-69.8646,18.5151,,S-B1,
-69.993167,18.427033,B-0136,S-A3,25.5
-69.9692,18.4464,B-0114,S-A3,10.7
-69.9578,18.4358,B-0104,S-A3,12.1
-69.976767,18.4677,A-0110,S-A3,7.5
-70.0468,18.5239,,S-LAG,
-69.914933,18.5639,B-0150,S-B2,27
-69.9211548,18.48290307,A-0101,S-A1,27.6
-69.835483,18.502967,B-0139,S-B1,15.2
-69.9084,18.4886,B-0108,S-A1,6.1
-70.0989,18.4139,A-2102,S-SC,11.7
-69.891317,18.503967,B-0109,S-A1,7.1
-70.042517,18.477183,CRD-0116,S-A2,14.9
-69.025067,18.4588,CRD-1203,S-VHE,26.5
-69.9281,18.5013,B-0107,S-A1,15.1
-69.95425,18.4452,B-0104,S-A3,0
-69.8237,18.467767,CRD-0162,S-B3,12.9
-69.6069,18.4611,,S-B2,
-69.884,18.49475,CRD-0132,S-A1,28.9
-69.6837,18.4715,,S-B2,
-69.980483,18.46095,B-0105,S-A3,18.8
-69.9535,18.67895,B-2905,S-B2,16.2
-70.034417,18.489217,CRD-0113,S-A2,18.8
-69.893133,18.49895,B-0109,S-A1,0
-69.95945,18.448367,B-0129,S-A3,15.4
-70.035883,18.396967,A-2103,S-BH,14.8
-69.99795,18.541317,B-0126,S-A2,15.5
-68.5943,18.6745,A-1103,S-HIG,
-69.9614,18.4658,B-0124,S-A3,16.4
-68.6958,18.6353,A-1108,S-HIG,0
-69.697,18.4701,,S-B2,
-69.882533,18.513,B-0141,S-B1,14.6
-69.805417,18.478917,B-0112,S-B3,22.2
-69.979983,18.460583,B-0129,S-A3,7.8
-69.8699,18.5262,B-0141,S-B2,
-69.9414,18.545,B-0145,S-B2,16
-69.885883,18.496583,CRD-0160,S-A1,10
-70.0309,18.4846,B-0125,S-A3,
-69.6842,18.4986,,S-B2,
-69.969233,18.482267,CRD-0123,S-A3,21.1
-69.8196,18.4736,B-0157,S-B3,
-70.04285,18.543167,B-0126,S-A2,7.7
-69.4226,18.4336,U-2308,S-GUA,15
-69.191783,18.449367,CRD-2304,S-RSA,19.9
-69.919183,18.504817,B-0110,S-A1,9.2
-70.045517,18.5218,B-0125,S-A2,10.3
-69.298883,18.47925,CRD-2302,S-SPM,14
-70.239233,18.2702,CRD-1708,S-BAN,8.8
-70.101683,18.425033,A-2102,S-SC,21.7
-68.977783,18.437633,A-1202,S-LRO,16.1
-69.913167,18.5289,A-0111,S-B2,10
-68.70355,18.62865,A-1108,S-HIG,5.9
-69.8161,18.535,A-0116,S-B3,
-69.8813,18.4987,B-0101,S-A1,
-69.8405,18.4722,B-0119,S-B1,
-69.896617,18.487167,A-0103,S-A1,30.6
-69.8787,18.5026,B-0121,S-A1,22.2
-70.0309,18.4846,,S-A3,
-69.686112,18.465278,,S-B2,
-69.9093,18.4989,CRD-0132,S-A1,
-69.849383,18.502733,B-0139,S-B1,28.1
-69.8945,18.5052,CRD-0132,S-A1,6.1
-70.040767,18.529167,B-0117,S-A2,13.7
-69.853733,18.57935,B-0143,S-B2,13.2
-70.021183,18.529,B-0117,S-A2,13
-69.809383,18.526617,A-0114,S-B3,8.1
-69.8078,18.5199,B-0156,S-B3,
-68.713783,18.6144,A-1102,S-HIG,7.2
-70.28784653,18.31281844,A-1702,S-BAN,32.2
-69.906533,18.565983,B-0148,S-B2,26
-69.643533,18.4389,A-0117,S-B2,20.9
-69.902067,18.496933,B-0133,S-A1,16.3
-70.033533,18.517033,B-0125,S-A2,15.5
-69.6836,18.4563,,S-B2,
-69.94225753,18.43768561,B-0127,S-A3,13.4
-70.021533,18.527917,A-0105,S-A2,16.8
-69.864083,18.473783,B-0137,S-B1,20.8
-69.9267,18.4447,B-0102,S-A1,34.7
-69.9327,18.5466,B-0145,S-B2,
-69.816317,18.500217,B-0156,S-B3,10.3
-69.9622,18.495233,B-0111,S-A3,17.7
-69.697,18.4701,,S-B2,
-69.87635,18.473167,B-0137,S-B1,16
-69.7009,18.5543,B-0154,S-B2,6.7
-68.579617,18.739483,B-1104,S-HIG,28.8
-69.99485,18.54425,B-0130,S-A2,8.1
-69.885933,18.569417,A-0113,S-B2,22.8
-70.0054,18.4669,CRD-0116,S-A3,
-70.001833,18.433483,B-0105,S-A3,44.3
-69.697,18.4701,,S-B2,
-68.57225,18.745733,A-1104,S-HIG,33.9
-68.9777,18.4195,A-1201,S-LRO,21.2
-69.6706,18.4517,,S-B2,
-69.8797,18.4888,B-0138,S-B1,12.3
-69.9281,18.5013,B-0110,S-A1,7.6
-69.805783,18.525583,B-0140,S-B3,35.8
-70.001767,18.464883,A-0110,S-A3,9.1
-69.9527,18.450017,B-0120,S-A3,19
-70.091867,18.4922,CRD-2111,S-SC,34.2
-69.873317,18.541633,B-0144,S-B2,27.8
-69.70135,18.471933,B-0158,S-B2,15.4
-69.804723,18.523889,A-0114,S-B3,20.7
-69.8406,18.473,A-0106,S-B1,
-69.888183,18.518517,B-0141,S-B1,59.6
-69.79725,18.47125,B-0153,S-B3,28.4
-69.9236,18.489,U-0119,S-A1,36
-69.887,18.4951,B-0115,S-A1,
-69.247533,18.505867,CRD-2306,S-SPM,0.3
-69.96885,18.507483,B-0111,S-A3,8.6
-69.697,18.4701,A-0117,S-B3,24.1
-69.003183,18.4466,CRD-1203,S-VHE,7.2
-69.8461,18.499033,B-0142,S-B1,21.2
-69.9371,18.5366,B-0149,S-B2,
-70.4037,18.3079,CRD-1707,S-MAT,15.1
-69.95445,18.500733,B-0122,S-A3,25.6
-69.794683,18.478717,B-0158,S-B3,5.6
-69.697,18.4701,B-0159,S-B3,24.3
-69.9211548,18.48290307,A-0101,S-A1,20.9
-69.911533,18.497917,B-0133,S-A1,18.2
-68.957717,18.42065,CRD-1207,S-LRO,10.5
-69.848717,18.475617,B-0112,S-B1,8.9
-69.992117,18.5376,B-0130,S-A2,33.3
-69.863667,18.512933,B-0141,S-B1,20.1
-69.81161945,18.54365373,B-0155,S-B3,12.3
-69.904983,18.498367,A-0103,S-A1,42.7
-69.92035,18.526683,B-0152,S-B2,0
-69.041767,18.436717,CRD-1205,S-VHE,23.5
-69.87265,18.54245,B-0146,S-B2,11
-69.857833,18.506667,A-0108,S-B1,16.1
-68.701583,18.60275,A-1102,S-HIG,21.4
-69.981867,18.4723,B-0105,S-A3,15.2
-69.885367,18.49795,B-0115,S-A1,19.6
-70.044867,18.425533,CRD-2113,S-BH,8.1
-70.023667,18.5241,A-0104,S-A2,9.1
-69.7948,18.5489,U-0162,S-B3,9.2
-69.8859,18.4723,A-0101,S-A1,13.8
-70.004333,18.517167,A-0104,S-A2,8.1
-70.109267,18.42005,A-2102,S-SC,23.2
-68.5797,18.806567,B-1103,S-HIG,4.7
-69.946617,18.4803,A-0109,S-A3,21.6
-69.8446,18.5037,,S-B1,
-69.8691,18.5148,B-0142,S-B1,7.4
-69.944583,18.453783,B-0120,S-A3,14.4
-69.786517,18.493117,A-0116,S-B3,8.5
-69.027133,18.451933,CRD-1203,S-VHE,30.3
-70.4437,18.2287,CRD-1705,S-MAT,
-69.89695,18.498683,B-0121,S-A1,27.8
-70.053017,18.547767,A-0104,S-A2,35.2
-69.882583,18.497117,B-0115,S-A1,26.3
-69.857967,18.482367,B-0137,S-B1,20
-69.8461,18.5174,A-0108,S-B1,
-70.001917,18.43845,B-0136,S-A3,10.7
-69.7948,18.5489,B-0156,S-B3,14.9
-69.921717,18.683517,CRD-2903,S-B2,9.2
-69.791467,18.50585,B-0157,S-B3,26.7
-69.850667,18.493833,B-0112,S-B1,4
-69.93615,18.526867,B-0149,S-B2,12.3
-69.862933,18.5166,CRD-0160,S-B1,43.1
-69.690183,18.458133,B-0159,S-B2,10
-69.808567,18.464583,A-0117,S-B3,40.8
-68.558133,18.757167,B-1104,S-HIG,32.6
-69.8387,18.4988,,S-B1,
-70.032533,18.412933,CRD-2113,S-BH,27.7
-69.632633,18.741917,B-2902,S-BAY,22.4
-69.9761,18.4889,A-0110,S-A3,24.7
-69.798067,18.546067,B-0156,S-B3,37.8
-69.9393,18.5066,B-0111,S-A3,16.4
-69.90875,18.479,CRD-0161,S-A1,22.3
-69.697,18.4701,,S-B2,
-69.988467,18.443817,B-0114,S-A3,13.3
-69.944467,18.444483,B-0120,S-A3,13.8
-69.8758,18.4806,B-0137,S-B1,22.1
-70.420117,18.2453,CRD-1706,S-MAT,26.7
-69.90835,18.54,A-0112,S-B2,0
-70.0309,18.4846,,S-A3,
-70.116167,18.406883,CRD-2103,S-SC,29
-69.0051,18.4391,CRD-1201,S-VHE,25.2
-69.8584,18.499183,CRD-0160,S-B1,8.9
-70.037367,18.415733,CRD-2113,S-BH,13.4
-69.29525,18.469117,CRD-2301,S-SPM,13.2
-70.0994,18.4181,A-2101,S-SC,
-69.859817,18.49485,B-0138,S-B1,7
-69.8802,18.4969,B-0115,S-A1,26.3
-70.16165,18.58675,CRD-2116,S-VAL,31.1
-69.007883,18.40115,CRD-1204,S-LRO,25.1
-69.6836,18.4563,B-0159,S-B3,23.1
-69.98655,18.506833,B-0122,S-A3,10.1
-69.8483,18.4936,B-0138,S-B1,18.9
-69.305167,18.46255,A-2301,S-SPM,27.8
-69.9021,18.516633,A-0111,S-B2,22.4
-69.690183,18.458133,B-0159,S-B2,28.8
-69.88275,18.49105,B-0121,S-A1,20
-68.717733,18.606017,A-1102,S-HIG,17
-69.827383,18.48045,B-0112,S-B3,14.8
-69.6308,18.4458,,S-B2,
-69.935467,18.475033,A-0107,S-A1,36.6
-69.909267,18.568567,B-0146,S-B2,15.8
-69.7024,18.5551,,S-B2,
-68.8973,18.666233,CRD-1102,S-HIG,14.2
-69.014567,18.444,CRD-1203,S-VHE,23.2
-69.832283,18.4778,A-0106,S-B1,6.1
-68.721233,18.524683,CRD-1106,S-SRY,32.2
-70.250583,18.781867,CRD-2118,S-VAL,0
-70.112667,18.40655,CRD-2105,S-SC,13.8
-69.892333,18.4859,A-0103,S-A1,14.8
-69.834433,18.535983,B-0140,S-B3,14.3
-69.994433,18.50125,A-0104,S-A3,5
-69.7175,18.543733,A-0116,S-B2,26.5
-70.018533,18.532883,B-0126,S-A2,0.3
-69.925317,18.541483,B-0145,S-B2,9.8
-69.884767,18.49955,CRD-0132,S-A1,15.7
-69.9454,18.532917,A-0111,S-B2,12.6
-69.947217,18.466033,B-0120,S-A3,7.7
-70.034033,18.468433,CRD-0113,S-A2,22.2
-69.889733,18.511167,B-0121,S-A1,6.2
-69.996617,18.602217,B-0151,S-B2,28.1
-70.019,18.51465,A-0105,S-A2,20.4
-70.01555,18.52435,B-0125,S-A2,8.7
-69.920533,18.577367,B-0150,S-B2,12.8
-69.978367,18.487067,B-0111,S-A3,19.7
-69.839067,18.50125,B-0139,S-B1,4.7
-70.0426,18.520867,B-0125,S-A2,10.6
-69.9576,18.4764,,S-A3,
-70.0249,18.4174,A-2103,S-BH,21.5
-69.978617,18.432383,B-0124,S-A3,14.3
-69.8138,18.4717,CRD-0162,S-B3,
-69.889417,18.519867,B-0141,S-B1,10.2
-70.081967,18.404467,CRD-2103,S-SC,14.7
-69.905667,18.541283,B-0144,S-B2,49.1
-69.8421,18.4959,B-0112,S-B1,
-69.007333,18.457683,CRD-1201,S-VHE,12.2
-69.606389,18.455556,A-0115,S-B3,
-69.73722,18.469166,CRD-0162,S-B3,16.1
-69.885283,18.50285,B-0115,S-A1,12.1
-69.91815,18.4925,B-0133,S-A1,20.7
-69.887167,18.481583,B-0101,S-A1,27
-70.052133,18.54735,B-0126,S-A2,15.7
-69.976433,18.47985,B-0106,S-A3,27.4
-69.7216,18.47525,A-0115,S-B3,9.3
-69.8646,18.5151,B-0142,S-B1,
-70.0468,18.5239,,S-A2,
-69.6836,18.4563,,S-B3,
-69.7198,18.4798,A-0108,S-B3,10.9
-69.6836,18.4563,,S-B3,
-69.6836,18.4563,,S-B2,
-70.2502,18.7873,CRD-2118,S-VAL,
-69.007483,18.461083,CRD-1205,S-VHE,33
-70.20415,18.2795,CRD-1708,S-NIZ,30.5
-69.890367,18.50335,CRD-0132,S-A1,32
-68.5464,18.7671,B-1103,S-HIG,27.3
-69.854917,18.549117,B-0143,S-B2,15.2
-69.69045,18.46695,B-0156,S-B2,9.8
-68.982317,18.410967,CRD-1204,S-LRO,7.8
-69.7097,18.5516,A-0116,S-B2,2.2
-69.8446,18.5037,B-0155,S-B3,15.3
-69.856483,18.819317,CRD-2901,S-MPL,14.2
-69.884667,18.49795,B-0108,S-A1,10.8
-69.944067,18.57565,B-0152,S-B2,24.4
-69.9952,18.4617,B-0105,S-A3,27.5
-69.98345,18.566033,A-0112,S-B2,9.3
-69.99935,18.473533,A-0110,S-A3,39.4
-69.899117,18.510983,B-0110,S-A1,23.9
-69.90875,18.479,CRD-0161,S-A1,14.7
-69.690183,18.458133,B-0159,S-B2,14.3
-69.969467,18.43025,B-0136,S-A3,59.3
-69.827133,18.478817,B-0153,S-B3,18.7
-69.994683,18.5417,B-0126,S-A2,23.6
-70.117217,18.429333,A-2103,S-SC,21.1
-69.7593,18.4814,A-0115,S-B3,
-69.298883,18.557883,CRD-2306,S-CON,15.3
-69.9425,18.4541,B-0127,S-A3,8.6
-69.908117,18.45825,B-0102,S-A1,6.8
-69.915533,18.580067,A-0113,S-B2,35.7
-69.907283,18.518383,A-0111,S-B2,31.6
